Disease,MealType,FoodName,DietType,Cuisine,Calories,Protein (g),Carbs (g),Fats (g),Ingredients,PreparationSteps,HealthNotes
Fatty Liver,Breakfast,Besan Chilla with spinach,Vegan,Indian,506,31.2,54.5,17.8,"main grains/legumes, seasonal vegetables, olive oil, herbs & spices","1) Prepare and measure ingredients: wash and chop vegetables, rinse grains/legumes if needed. 2) Cook base ingredients (grains/legumes) until al dente. 3) Lightly sauté vegetables; combine with base and season minimally. 4) Serve warm and garnish with herbs/seeds.",Low sugar and refined carbs; moderate healthy fats and lean protein to support liver health.
Diabetes,Breakfast,Fish Curry (light),Non-Vegetarian,Indian,173,25.1,67.8,20.5,"fresh fish fillet, lemon, garlic, olive oil, mixed herbs","1) Prepare and measure ingredients: wash and chop vegetables, rinse grains/legumes if needed. 2) Season fish lightly with herbs, lemon, and a small amount of oil. 3) Steam or bake until just cooked through to preserve moisture. 4) Serve immediately with steamed greens; avoid fried preparations.","Low glycemic index, emphasizes complex carbohydrates and fiber to stabilize blood sugar."
Anemia,Lunch,Roasted Veggie Bowl,Vegan,Continental,241,29.7,38.5,6.9,"mixed greens, tomatoes, cucumber, olive oil, lemon juice, quinoa or chickpeas","1) Prepare and measure ingredients: wash and chop vegetables, rinse grains/legumes if needed. 2) Cook any base (quinoa, rice or legumes) until tender and let cool. 3) Chop fresh vegetables and herbs; combine with base and protein source. 4) Dress lightly with olive oil, lemon juice, and a pinch of salt; toss and serve.",Iron- and folate-rich ingredients; pairs with vitamin C sources to enhance absorption.
Gastritis,Dinner,Oats Idli light masala,Vegetarian,Indian,469,15.0,15.4,14.5,"rolled oats, water or low-fat milk, nuts (almonds/walnuts), seeds (flax/chia), fresh berries or fruit","1) Prepare and measure ingredients: wash and chop vegetables, rinse grains/legumes if needed. 2) Cook oats in water or low-fat milk over medium heat until soft. 3) Stir in seeds and nuts; simmer briefly; add fresh fruits or cinnamon for flavor. 4) Serve warm; portion control advised for diabetes/weight management.","Soothing, low-acid, non-irritant foods; easily digestible preparations."
Hypertension,Snack,Ragi Porridge,Vegan,Indian,601,18.3,27.0,4.7,"rolled oats, water or low-fat milk, nuts (almonds/walnuts), seeds (flax/chia), fresh berries or fruit, olive oil","1) Prepare and measure ingredients: wash and chop vegetables, rinse grains/legumes if needed. 2) Cook oats in water or low-fat milk over medium heat until soft. 3) Stir in seeds and nuts; simmer briefly; add fresh fruits or cinnamon for flavor. 4) Serve warm; portion control advised for diabetes/weight management.","Low sodium, emphasizes potassium-rich vegetables and lean proteins to support blood pressure."
Fatty Liver,Lunch,Tofu Stir Fry,Vegetarian,Asian,354,15.5,61.6,12.1,"firm tofu or tempeh, soy sauce (low sodium), mixed vegetables, garlic, ginger","1) Prepare and measure ingredients: wash and chop vegetables, rinse grains/legumes if needed. 2) Press and cube tofu; marinate with low-sodium soy and spices. 3) Stir-fry on high heat with vegetables to retain texture. 4) Finish with a splash of lemon and chopped herbs; serve hot.",Low sugar and refined carbs; moderate healthy fats and lean protein to support liver health.
Thyroid,Dinner,Lentil Stew,Vegan,Mediterranean,247,24.2,31.1,14.6,"lentils (moong/masoor), onion, tomato, turmeric, cumin, olive oil","1) Prepare and measure ingredients: wash and chop vegetables, rinse grains/legumes if needed. 2) Sauté aromatics lightly in a bit of oil; add vegetables and low-sodium broth. 3) Simmer until vegetables are tender; season with herbs. 4) Blend partially or fully for a smooth texture if desired; serve warm.","Balanced iodine and selenium sources, moderate calories to support metabolic health."
Heart Disease,Lunch,Tofu Stir Fry,Vegetarian,Asian,572,16.7,32.9,8.3,"firm tofu or tempeh, soy sauce (low sodium), mixed vegetables, garlic, ginger","1) Prepare and measure ingredients: wash and chop vegetables, rinse grains/legumes if needed. 2) Press and cube tofu; marinate with low-sodium soy and spices. 3) Stir-fry on high heat with vegetables to retain texture. 4) Finish with a splash of lemon and chopped herbs; serve hot.","Rich in omega-3, fiber, and antioxidants; low in saturated/trans fats to support cardiovascular health."
High Cholesterol,Dinner,Lemon Herb Fish,Pescatarian,Mediterranean,489,21.6,32.7,9.2,"fresh fish fillet, lemon, garlic, olive oil, mixed herbs","1) Prepare and measure ingredients: wash and chop vegetables, rinse grains/legumes if needed. 2) Season fish lightly with herbs, lemon, and a small amount of oil. 3) Steam or bake until just cooked through to preserve moisture. 4) Serve immediately with steamed greens; avoid fried preparations.",High soluble fiber and lean proteins to reduce LDL cholesterol.
Kidney Disease,Dinner,Tuna Salad (olive oil dressing) with quinoa,Pescatarian,Continental,420,22.8,71.0,24.5,"mixed greens, tomatoes, cucumber, olive oil, lemon juice, quinoa or chickpeas","1) Prepare and measure ingredients: wash and chop vegetables, rinse grains/legumes if needed. 2) Cook any base (quinoa, rice or legumes) until tender and let cool. 3) Chop fresh vegetables and herbs; combine with base and protein source. 4) Dress lightly with olive oil, lemon juice, and a pinch of salt; toss and serve.",Lower sodium and potassium when needed; moderate protein and controlled phosphorus.
Obesity,Lunch,Grilled Halloumi Salad and mixed veggies,Vegetarian,Continental,430,14.5,55.2,26.6,"mixed greens, tomatoes, cucumber, olive oil, lemon juice, quinoa or chickpeas","1) Prepare and measure ingredients: wash and chop vegetables, rinse grains/legumes if needed. 2) Cook any base (quinoa, rice or legumes) until tender and let cool. 3) Chop fresh vegetables and herbs; combine with base and protein source. 4) Dress lightly with olive oil, lemon juice, and a pinch of salt; toss and serve.",Lower-calorie meals with high fiber and protein to increase satiety and support weight loss.
Fatty Liver,Breakfast,Stir-fried Tempeh and Veggies with quinoa,Vegan,Asian,392,6.1,68.3,21.0,"firm tofu or tempeh, soy sauce (low sodium), mixed vegetables, garlic, ginger, olive oil","1) Prepare and measure ingredients: wash and chop vegetables, rinse grains/legumes if needed. 2) Press and cube tofu; marinate with low-sodium soy and spices. 3) Stir-fry on high heat with vegetables to retain texture. 4) Finish with a splash of lemon and chopped herbs; serve hot.",Low sugar and refined carbs; moderate healthy fats and lean protein to support liver health.
Kidney Disease,Lunch,Ragi Porridge,Vegan,Indian,261,11.2,71.5,16.5,"rolled oats, water or low-fat milk, nuts (almonds/walnuts), seeds (flax/chia), fresh berries or fruit, olive oil","1) Prepare and measure ingredients: wash and chop vegetables, rinse grains/legumes if needed. 2) Cook oats in water or low-fat milk over medium heat until soft. 3) Stir in seeds and nuts; simmer briefly; add fresh fruits or cinnamon for flavor. 4) Serve warm; portion control advised for diabetes/weight management.",Lower sodium and potassium when needed; moderate protein and controlled phosphorus.
Gastritis,Breakfast,Salmon Teriyaki (light) light masala,Pescatarian,Asian,609,39.5,74.9,9.0,"fresh fish fillet, lemon, garlic, olive oil, mixed herbs","1) Prepare and measure ingredients: wash and chop vegetables, rinse grains/legumes if needed. 2) Cook base ingredients (grains/legumes) until al dente. 3) Lightly sauté vegetables; combine with base and season minimally. 4) Serve warm and garnish with herbs/seeds.","Soothing, low-acid, non-irritant foods; easily digestible preparations."
PCOS,Breakfast,Steamed Fish with spices,Pescatarian,Indian,432,32.0,22.0,14.9,"fresh fish fillet, lemon, garlic, olive oil, mixed herbs","1) Prepare and measure ingredients: wash and chop vegetables, rinse grains/legumes if needed. 2) Season fish lightly with herbs, lemon, and a small amount of oil. 3) Steam or bake until just cooked through to preserve moisture. 4) Serve immediately with steamed greens; avoid fried preparations.",Higher protein and low-glycemic carbohydrates to help regulate insulin and support hormones.
Kidney Disease,Lunch,Salmon Teriyaki (light),Pescatarian,Asian,546,30.8,27.7,10.8,"fresh fish fillet, lemon, garlic, olive oil, mixed herbs","1) Prepare and measure ingredients: wash and chop vegetables, rinse grains/legumes if needed. 2) Cook base ingredients (grains/legumes) until al dente. 3) Lightly sauté vegetables; combine with base and season minimally. 4) Serve warm and garnish with herbs/seeds.",Lower sodium and potassium when needed; moderate protein and controlled phosphorus.
Fatty Liver,Dinner,Baked Cod with Herbs with spinach,Pescatarian,Continental,333,6.7,55.2,17.7,"fresh fish fillet, lemon, garlic, olive oil, mixed herbs","1) Prepare and measure ingredients: wash and chop vegetables, rinse grains/legumes if needed. 2) Marinate protein/vegetables with minimal oil, herbs, and lemon. 3) Preheat grill or oven; cook until done, turning once for even cooking. 4) Serve with steamed vegetables or salad; avoid heavy sauces.",Low sugar and refined carbs; moderate healthy fats and lean protein to support liver health.
Diabetes,Breakfast,Grilled Tandoori Chicken,Non-Vegetarian,Indian,600,17.2,52.1,10.0,"lean chicken breast, garlic, yogurt (low-fat), spices (paprika, turmeric), olive oil","1) Prepare and measure ingredients: wash and chop vegetables, rinse grains/legumes if needed. 2) Marinate protein/vegetables with minimal oil, herbs, and lemon. 3) Preheat grill or oven; cook until done, turning once for even cooking. 4) Serve with steamed vegetables or salad; avoid heavy sauces.","Low glycemic index, emphasizes complex carbohydrates and fiber to stabilize blood sugar."
GERD,Lunch,Grilled Salmon Salad,Pescatarian,Mediterranean,573,19.8,19.4,19.5,"mixed greens, tomatoes, cucumber, olive oil, lemon juice, quinoa or chickpeas","1) Prepare and measure ingredients: wash and chop vegetables, rinse grains/legumes if needed. 2) Cook any base (quinoa, rice or legumes) until tender and let cool. 3) Chop fresh vegetables and herbs; combine with base and protein source. 4) Dress lightly with olive oil, lemon juice, and a pinch of salt; toss and serve.","Non-acidic, low-fat options; avoid spicy, fried, and highly acidic foods to reduce reflux."
Thyroid,Snack,Baked Cod with Herbs,Pescatarian,Continental,490,9.3,43.4,11.5,"fresh fish fillet, lemon, garlic, olive oil, mixed herbs","1) Prepare and measure ingredients: wash and chop vegetables, rinse grains/legumes if needed. 2) Marinate protein/vegetables with minimal oil, herbs, and lemon. 3) Preheat grill or oven; cook until done, turning once for even cooking. 4) Serve with steamed vegetables or salad; avoid heavy sauces.","Balanced iodine and selenium sources, moderate calories to support metabolic health."
Depression/Anxiety,Breakfast,Grilled Chicken Bowl,Non-Vegetarian,Mediterranean,231,20.3,33.7,9.2,"mixed greens, tomatoes, cucumber, olive oil, lemon juice, quinoa or chickpeas","1) Prepare and measure ingredients: wash and chop vegetables, rinse grains/legumes if needed. 2) Cook any base (quinoa, rice or legumes) until tender and let cool. 3) Chop fresh vegetables and herbs; combine with base and protein source. 4) Dress lightly with olive oil, lemon juice, and a pinch of salt; toss and serve.","Mood-supporting nutrients: omega-3s, vitamin D, B vitamins, magnesium; balanced meals."
Hypertension,Snack,Paneer Bhurji,Vegetarian,Indian,207,37.5,78.2,7.2,"paneer or halloumi, bell peppers, olive oil, spinach or greens","1) Prepare and measure ingredients: wash and chop vegetables, rinse grains/legumes if needed. 2) Cook base ingredients (grains/legumes) until al dente. 3) Lightly sauté vegetables; combine with base and season minimally. 4) Serve warm and garnish with herbs/seeds.","Low sodium, emphasizes potassium-rich vegetables and lean proteins to support blood pressure."
GERD,Snack,Grilled Salmon Salad with spinach,Pescatarian,Mediterranean,359,15.0,73.2,14.4,"mixed greens, tomatoes, cucumber, olive oil, lemon juice, quinoa or chickpeas","1) Prepare and measure ingredients: wash and chop vegetables, rinse grains/legumes if needed. 2) Cook any base (quinoa, rice or legumes) until tender and let cool. 3) Chop fresh vegetables and herbs; combine with base and protein source. 4) Dress lightly with olive oil, lemon juice, and a pinch of salt; toss and serve.","Non-acidic, low-fat options; avoid spicy, fried, and highly acidic foods to reduce reflux."
