Disease,MealType,FoodName,DietType,Cuisine,Calories,Protein (g),Carbs (g),Fats (g),Ingredients,PreparationSteps,HealthNotes,disease_encoded,mealtype_encoded,diettype_encoded,cuisine_encoded,calories_scaled,protein_scaled,carbs_scaled,fats_scaled
Fatty Liver,Breakfast,Besan Chilla with spinach,Vegan,Indian,506,31.2,54.5,17.8,"main grains/legumes, seasonal vegetables, olive oil, herbs & spices","1) Prepare and measure ingredients: wash and chop vegetables, rinse grains/legumes if needed. 2) Cook base ingredients (grains/legumes) until al dente. 3) Lightly sauté vegetables; combine with base and season minimally. 4) Serve warm and garnish with herbs/seeds.",Low sugar and refined carbs; moderate healthy fats and lean protein to support liver health.,4,0,2,2,0.7254165345858967,0.8646859061495479,0.1337873800599158,0.33982524886506493
Diabetes,Breakfast,Fish Curry (light),Non-Vegetarian,Indian,173,25.1,67.8,20.5,"fresh fish fillet, lemon, garlic, olive oil, mixed herbs","1) Prepare and measure ingredients: wash and chop vegetables, rinse grains/legumes if needed. 2) Season fish lightly with herbs, lemon, and a small amount of oil. 3) Steam or bake until just cooked through to preserve moisture. 4) Serve immediately with steamed greens; avoid fried preparations.","Low glycemic index, emphasizes complex carbohydrates and fiber to stabilize blood sugar.",3,0,0,2,-1.624210114505564,0.24011260002975768,0.722235232723046,0.7180594838601077
Anemia,Lunch,Roasted Veggie Bowl,Vegan,Continental,241,29.7,38.5,6.9,"mixed greens, tomatoes, cucumber, olive oil, lemon juice, quinoa or chickpeas","1) Prepare and measure ingredients: wash and chop vegetables, rinse grains/legumes if needed. 2) Cook any base (quinoa, rice or legumes) until tender and let cool. 3) Chop fresh vegetables and herbs; combine with base and protein source. 4) Dress lightly with olive oil, lemon juice, and a pinch of salt; toss and serve.",Iron- and folate-rich ingredients; pairs with vitamin C sources to enhance absorption.,0,2,2,1,-1.1444064744508515,0.7111023062840257,-0.5741198111137749,-1.187120366485293
Gastritis,Dinner,Oats Idli light masala,Vegetarian,Indian,469,15.0,15.4,14.5,"rolled oats, water or low-fat milk, nuts (almonds/walnuts), seeds (flax/chia), fresh berries or fruit","1) Prepare and measure ingredients: wash and chop vegetables, rinse grains/legumes if needed. 2) Cook oats in water or low-fat milk over medium heat until soft. 3) Stir in seeds and nuts; simmer briefly; add fresh fruits or cinnamon for flavor. 4) Serve warm; portion control advised for diabetes/weight management.","Soothing, low-acid, non-irritant foods; easily digestible preparations.",6,1,3,2,0.4643469069090677,-0.7940169723980922,-1.596160818370791,-0.12246103835109858
Hypertension,Snack,Ragi Porridge,Vegan,Indian,601,18.3,27.0,4.7,"rolled oats, water or low-fat milk, nuts (almonds/walnuts), seeds (flax/chia), fresh berries or fruit, olive oil","1) Prepare and measure ingredients: wash and chop vegetables, rinse grains/legumes if needed. 2) Cook oats in water or low-fat milk over medium heat until soft. 3) Stir in seeds and nuts; simmer briefly; add fresh fruits or cinnamon for flavor. 4) Serve warm; portion control advised for diabetes/weight management.","Low sodium, emphasizes potassium-rich vegetables and lean proteins to support blood pressure.",9,3,2,2,1.395730443485863,-0.45613305269394316,-1.0829281047698651,-1.495311224629402
Fatty Liver,Lunch,Tofu Stir Fry,Vegetarian,Asian,354,15.5,61.6,12.1,"firm tofu or tempeh, soy sauce (low sodium), mixed vegetables, garlic, ginger","1) Prepare and measure ingredients: wash and chop vegetables, rinse grains/legumes if needed. 2) Press and cube tofu; marinate with low-sodium soy and spices. 3) Stir-fry on high heat with vegetables to retain texture. 4) Finish with a splash of lemon and chopped herbs; serve hot.",Low sugar and refined carbs; moderate healthy fats and lean protein to support liver health.,4,2,3,0,-0.34708571965404944,-0.7428224391095848,0.4479211961432411,-0.4586692472355811
Thyroid,Dinner,Lentil Stew,Vegan,Mediterranean,247,24.2,31.1,14.6,"lentils (moong/masoor), onion, tomato, turmeric, cumin, olive oil","1) Prepare and measure ingredients: wash and chop vegetables, rinse grains/legumes if needed. 2) Sauté aromatics lightly in a bit of oil; add vegetables and low-sodium broth. 3) Simmer until vegetables are tender; season with herbs. 4) Blend partially or fully for a smooth texture if desired; serve warm.","Balanced iodine and selenium sources, moderate calories to support metabolic health.",13,1,2,3,-1.1020708591519062,0.14796244011044413,-0.9015268870316068,-0.10845236298091185
Heart Disease,Lunch,Tofu Stir Fry,Vegetarian,Asian,572,16.7,32.9,8.3,"firm tofu or tempeh, soy sauce (low sodium), mixed vegetables, garlic, ginger","1) Prepare and measure ingredients: wash and chop vegetables, rinse grains/legumes if needed. 2) Press and cube tofu; marinate with low-sodium soy and spices. 3) Stir-fry on high heat with vegetables to retain texture. 4) Finish with a splash of lemon and chopped herbs; serve hot.","Rich in omega-3, fiber, and antioxidants; low in saturated/trans fats to support cardiovascular health.",7,2,3,0,1.1911083028742944,-0.619955559217167,-0.8218873280245667,-0.9909989113026783
High Cholesterol,Dinner,Lemon Herb Fish,Pescatarian,Mediterranean,489,21.6,32.7,9.2,"fresh fish fillet, lemon, garlic, olive oil, mixed herbs","1) Prepare and measure ingredients: wash and chop vegetables, rinse grains/legumes if needed. 2) Season fish lightly with herbs, lemon, and a small amount of oil. 3) Steam or bake until just cooked through to preserve moisture. 4) Serve immediately with steamed greens; avoid fried preparations.",High soluble fiber and lean proteins to reduce LDL cholesterol.,8,1,1,3,0.6054656245722185,-0.1182491329897942,-0.8307361679142377,-0.8649208329709974
Kidney Disease,Dinner,Tuna Salad (olive oil dressing) with quinoa,Pescatarian,Continental,420,22.8,71.0,24.5,"mixed greens, tomatoes, cucumber, olive oil, lemon juice, quinoa or chickpeas","1) Prepare and measure ingredients: wash and chop vegetables, rinse grains/legumes if needed. 2) Cook any base (quinoa, rice or legumes) until tender and let cool. 3) Chop fresh vegetables and herbs; combine with base and protein source. 4) Dress lightly with olive oil, lemon juice, and a pinch of salt; toss and serve.",Lower sodium and potassium when needed; moderate protein and controlled phosphorus.,10,1,1,1,0.11860604863434823,0.004617746902623519,0.8638166709577844,1.2784064986675785
